"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Tests to validate different actions with WDIO","2","0","","0"
"0","","0","Demo Tests","2","0","","0"
"0","","0","Verify the functionality of alerts","2","0","","0"
